name	id	max_length	max_width	island_group	body_of_water
Mugge Island	/m/0drxjvj				
Francis Island	/m/0ds9dtj				
Pebbly Mudstone Island	/m/0ds45zy				
Dodd Island	/m/0ds0xy8				
Cholet Island	/m/0dsb99_				
Saxemberg Island	/m/0fr5xw				
Flounder Island	/m/0dscx1c				
Lacuna Island	/m/0fq0x01				
Dayman island	/m/0fk2py				
Salih Ada	/m/09fg7p				
Eilean Trodday	/m/09gn97v			British Isles,Inner Hebrides	
Ynys y Bîg	/m/09s7k3				
Noddle's Island	/m/0bhbnr2			Boston Harbor Islands	Boston Harbor
Hulhumeedhoo	/m/0b0db3				
Selayar	/m/0b6vwb				
Tranqui Island	/m/0b6ny1j				
Stranger Cay	/m/0bbxz33				
Stronsay	/m/02fv5l			British Isles,Orkney Islands	
Beausoleil Island	/m/02vqg8w				
Eigg	/m/02d_1l			British Isles,Inner Hebrides	
Rukwanzi Island	/m/02z0p73				
Crozet Islands	/m/02_j6l				
Ackerman Island	/m/03d85w6				Arkansas River
Haha-jima	/m/03dvl8			Ogasawara Islands	Pacific Ocean
Drowned Island	/m/02z5gbc				
Fladda-chùain	/m/03c0wks				
Douglas Island	/m/02x1f6v				Pacific Ocean
Rolvsøy	/m/03c3g9h				
Seal Rock	/m/03c2llz				
Kayts	/m/03bxp19				
Bardsey Island	/m/02xd52			British Isles	Cardigan Bay
Bribie Island, Queensland	/m/06c62z	34.0	8.0		
Clare Island	/m/05452_				Clew Bay
